Source,Folder,Filename,Extension,Dataset Name,Filetype,Internal Layer Name,Static,Resolution,Units
Local,Y:/Mike/SSPs/Historic/input/Data/Original,LandSeaMask,.nc,land_sea_mask,nc,LandSeaMask,Y,year,
Local,Y:/Mike/SSPs/Historic/input/Data/Original/Land,AvailableWaterCapacity,.nc,AWC,nc,AWC,Y,year,mm
Local,Y:/Mike/SSPs/Historic/input/Data/Original/Land,hanpp_2005,.nc,HANPP,nc,HANPP,Y,year,gC/m2/year
Local,Y:/Mike/SSPs/Historic/input/Data/Original/Land,NPP,.nc,NPP,nc,LandNPP,Y,month,gC/m2/day
Local,Y:/Mike/SSPs/Historic/input/Data/Original/Ocean,OceanNPP,.nc,NPP,nc,OceanNPP,Y,month,gC/m2/day
Local,Y:/Mike/SSPs/Historic/input/Data/Original/Ocean,KennedyetalDTR_monthly_climatology,.nc,DTR,nc,OceanDTR,Y,month,degC
Local,Y:/Mike/SSPs/Historic/input/Data/Original/Ocean,averaged_u_50y_top100m_monthly,.nc,uVel,nc,uVel,Y,month,cm/s
Local,Y:/Mike/SSPs/Historic/input/Data/Original/Ocean,averaged_v_50y_top100m_monthly,.nc,vVel,nc,vVel,Y,month,cm/s
Local,Y:/Mike/SSPs/Historic/input/Data/Original/Ocean,averaged_SST_50y_top100m_monthly,.nc,SST,nc,SST,Y,month,degC
Local,C:/Users/mikeha/Work/Madingley/LPJ/crujra_30y,cru30y-new,.nc,tmp,nc,Temperature,N,month,degC
Local,C:/Users/mikeha/Work/Madingley/LPJ/crujra_30y,cru30y-new,.nc,dtr,nc,LandDTR,N,month,degC
Local,C:/Users/mikeha/Work/Madingley/LPJ/crujra_30y,cru30y-new,.nc,pre,nc,Precipitation,N,month,mm
Local,Y:/Mike/SSPs/Historic/input/Data/SSP,HistoricClimate1901-2015_1dd,.nc,frs,nc,FrostDays,N,month,
Local,Y:/Mike/SSPs/Historic/input/Data/New/Land,H_max,.nc,H_max,nc,Max_Size_10,Y,year,n/a
Local,Y:/Mike/SSPs/Historic/input/Data/New/Land,C_max,.nc,C_max,nc,Max_Size_11,Y,year,n/a
Local,Y:/Mike/SSPs/Historic/input/Data/New/Land,O_max,.nc,O_max,nc,Max_Size_12,Y,year,n/a
Local,C:/Users/mikeha/Work/Madingley/LPJ/lpjg_evergreen_deciduous_input/cent_engl,m_deciduous,.nc,mdec_leaf,nc,S1,N,month,kg/m2
Local,C:/Users/mikeha/Work/Madingley/LPJ/lpjg_evergreen_deciduous_input/cent_engl,m_evergreen,.nc,mever_leaf,nc,S2,N,month,kg/m2
